dataset	model	stratification	crossvalidation	run_id	n_cells	n_populations	min_support	median_support	max_support	imbalance_ratio	support_entropy
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cydefine[3f57bdcdec41]	unfiltered	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cydefine[3f57bdcdec41]	unfiltered	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cydefine[3f57bdcdec41]	unfiltered	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cydefine[3f57bdcdec41]	unfiltered	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	drop-both	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	drop-both	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	drop-both	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	drop-both	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	drop-both	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	drop-train	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	drop-train	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	drop-train	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	drop-train	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	drop-train	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	unfiltered	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	unfiltered	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	unfiltered	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	unfiltered	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cygate	unfiltered	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	dgcytof	drop-both	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	dgcytof	drop-both	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	dgcytof	drop-both	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	dgcytof	drop-both	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	dgcytof	drop-both	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	dgcytof	drop-train	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	dgcytof	drop-train	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	dgcytof	drop-train	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	dgcytof	drop-train	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	dgcytof	drop-train	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	dgcytof	unfiltered	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	dgcytof	unfiltered	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	dgcytof	unfiltered	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	dgcytof	unfiltered	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	dgcytof	unfiltered	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[E]	drop-both	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[E]	drop-both	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[E]	drop-both	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[E]	drop-both	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[E]	drop-both	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[E]	drop-train	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[E]	drop-train	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[E]	drop-train	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[E]	drop-train	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[E]	drop-train	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[E]	unfiltered	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[E]	unfiltered	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[E]	unfiltered	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[E]	unfiltered	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[E]	unfiltered	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[V]	drop-both	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[V]	drop-both	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[V]	drop-both	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[V]	drop-both	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[V]	drop-both	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[V]	drop-train	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[V]	drop-train	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[V]	drop-train	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[V]	drop-train	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[V]	drop-train	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[V]	unfiltered	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[V]	unfiltered	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[V]	unfiltered	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[V]	unfiltered	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	gatemeclass[V]	unfiltered	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	knn	drop-both	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	knn	drop-both	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	knn	drop-both	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	knn	drop-both	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	knn	drop-both	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	knn	drop-train	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	knn	drop-train	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	knn	drop-train	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	knn	drop-train	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	knn	drop-train	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	knn	unfiltered	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	knn	unfiltered	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	knn	unfiltered	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	knn	unfiltered	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	knn	unfiltered	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	lda	drop-both	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	lda	drop-both	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	lda	drop-both	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	lda	drop-both	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	lda	drop-both	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	lda	drop-train	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	lda	drop-train	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	lda	drop-train	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	lda	drop-train	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	lda	drop-train	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	lda	unfiltered	num-1	run0	587254	8	2785	71191	169103	60.71921005385997	2.552800474111671
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	lda	unfiltered	num-2	run0	640909	8	957	83326	222815	232.82654127481715	2.396024872990168
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	lda	unfiltered	num-3	run0	669201	8	2712	79218	224620	82.8244837758112	2.498786477121835
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	lda	unfiltered	num-4	run0	626922	8	2820	75688.5	196046	69.51985815602836	2.532382394982019
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	lda	unfiltered	num-5	run0	560939	8	2677	65739	165415	61.79118416137467	2.486782876848897
